wallet,credit_score
0x000000e28faa823d5b53ff6c2922c28335840375,100
0x00000087c4cebffb95746d1935de7fbcab092f40,100
0x000000003ce0cf2c037493b1dc087204bd7f713e,100
0x05ebf7b089a859af295b4f4d96673edcb5ef6621,100
0x05e09b56ec91620f9bab354c573712e446f8eb11,100
0x0178e892ccb5ab71c7b1727fe7e50f317b0494b1,100
0x017b4cca058ecf79937066adf44ddfa249a620fd,100
0x01812580ff18cdaa3e9b3cdaa81496cd98d3f56f,100
0x01a580e1370e798c48abda6b2f605035f2127d5c,100
0x01c5c4ca74a665e40e96ed8ff221500b6366b8a6,100
